GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ORM,com.revature.dao,GenericDaoImpl,813,0,58,0,154,0,44,0,15,0
ORM,com.revature,Driver,4,0,0,0,2,0,2,0,2,0
ORM,com.revature.util,ConnectionFactory,56,0,0,0,21,0,3,0,3,0
ORM,com.revature.model,Account,121,0,0,0,28,0,12,0,12,0
ORM,com.revature.model,User,84,0,0,0,22,0,10,0,10,0
